"date","replicate","treatment","original_count","burrow_count","burrow_count_comp","original_diameter","mean_burrow_diameter","mean_burrow_diameter_comp","set","mean_air_temp","mean_baro","mean_wind_speed","mean_wind_vec","mean_PAR","mean_humidity","site","ztemp.1","ztemp.2","ztemp.3","all","bc_pred","bd_pred"
"10/19/2022","1","Compact", 8, 2, -6,20.28000,23.595000,  3.31500000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"2", 0.22999921, 0.87678740, 0.42785688,1, -6.51544032, -7.93452809
"10/19/2022","1","Rake", 7, 0, -7,22.43571, 0.000000,-22.43571429,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"3", 0.22999921, 0.87678740, 0.42785688,1, -6.15682595, -4.61403384
"10/19/2022","1","Marine Debris", 4, 1, -3,15.32250,26.380000, 11.05750000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"4", 0.22999921, 0.87678740, 0.42785688,1, -3.28329906, -3.15801050
"10/19/2022","2","aControl", 9, 2, -7,26.76444,16.130000,-10.63444444,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"5", 0.22999921, 0.87678740, 0.42785688,1, -5.07969125, -6.04654987
"10/19/2022","2","Compact", 8, 5, -3,27.31250,24.468000, -2.84450000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"6", 0.22999921, 0.87678740, 0.42785688,1, -5.52241499,-11.20304491
"10/19/2022","2","Rake", 6, 0, -6,25.11833, 0.000000,-25.11833333,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"7", 0.22999921, 0.87678740, 0.42785688,1, -5.37501628, -7.88255067
"10/19/2022","2","Marine Debris", 5, 0, -5,15.27200, 0.000000,-15.27200000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"8", 0.22999921, 0.87678740, 0.42785688,1, -3.97218528, -6.42652733
"10/19/2022","3","aControl", 7, 3, -4,19.52714,16.573333, -2.95380953,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"9", 0.22999921, 0.87678740, 0.42785688,1, -4.71468533, -0.14032402
"10/19/2022","3","Compact", 7, 1, -6,16.50286,22.390000,  5.88714286,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"10", 0.22999921, 0.87678740, 0.42785688,1, -5.21868185, -5.29681906
"10/19/2022","3","Rake",14, 1,-13,17.13714,17.740000,  0.60285714,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"11", 0.22999921, 0.87678740, 0.42785688,1,-12.54447714, -1.97632482
